"","n_A","power_AtoB","power_BtoC","power_AtoC","FDR_AtoB","FDR_BtoC","FDR_AtoC"
"1","n_A=500",0.96,0.939518231854145,0.902669414977657,0,0.00229515808497944,0.00232396674965197
"2","n_A=5000",0.9,0.956251461988304,0.861928888519364,0,0.00161871548968323,0.00165165165165164
"3","n_A=50000",0.83,0.950496474028208,0.788781725572824,0,0,0
"4","n_A=1e+05",0.76,0.940322613660849,0.715734089722554,0,0.00263806724881874,0.00264637863975612
"5","n_A=2e+05",0.77,0.927245160884867,0.716964224290194,0,0.00343388916165132,0.00345711376104595
